火炎砲弾,開幕効果,師団全体に火属性の開幕ダメージ。種族「炎」無効。障壁・結界・吸収・反射で効果軽減
水流砲弾,開幕効果,師団全体に水属性の開幕ダメージ。種族「海」無効。障壁・結界・吸収・反射で効果軽減
氷撃砲弾,開幕効果,師団全体に氷属性の開幕ダメージ。種族「氷」無効。障壁・結界・吸収・反射で効果軽減
雷撃砲弾,開幕効果,師団全体に雷属性の開幕ダメージ。種族「雷」無効。障壁・結界・吸収・反射で効果軽減
毒気砲弾,開幕効果,師団全体に毒属性の開幕ダメージ。種族「毒・死・器」無効。
神術砲弾,開幕効果,師団全体に光属性の開幕ダメージ。障壁・結界・吸収・反射で効果軽減
魔術砲弾,開幕効果,師団全体に闇属性の開幕ダメージ。障壁・結界・吸収・反射で効果軽減
強酸砲弾,開幕効果,師団全体に酸属性の開幕ダメージ。種族「海・蟲」無効。
火炎放射,継続効果,目標に火属性の継続ダメージ。種族「炎」無効。障壁・結界・吸収・反射で効果軽減
水流放射,継続効果,目標に水属性の継続ダメージ。種族「海」無効。障壁・結界・吸収・反射で効果軽減
氷撃放射,継続効果,目標に氷属性の継続ダメージ。種族「氷」無効。障壁・結界・吸収・反射で効果軽減
雷撃放射,継続効果,目標に雷属性の継続ダメージ。種族「雷」無効。障壁・結界・吸収・反射で効果軽減
毒気放射,継続効果,目標に毒属性の継続ダメージ。種族「毒・死・器」無効。
神術放射,継続効果,目標に神属性の継続ダメージ。障壁・結界・吸収・反射で効果軽減
魔術放射,継続効果,目標に魔属性の継続ダメージ。障壁・結界・吸収・反射で効果軽減
強酸放射,継続効果,目標に酸属性の継続ダメージ。種族「海・蟲」無効。
大火炎陣,継続効果,師団全体に火属性の継続ダメージ。種族「炎」無効。障壁・結界・吸収・反射で効果軽減
大水流陣,継続効果,師団全体に水属性の継続ダメージ。種族「海」無効。障壁・結界・吸収・反射で効果軽減
大氷撃陣,継続効果,師団全体に氷属性の継続ダメージ。種族「氷」無効。障壁・結界・吸収・反射で効果軽減
大雷撃陣,継続効果,師団全体に雷属性の継続ダメージ。種族「雷」無効。障壁・結界・吸収・反射で効果軽減
大毒気陣,継続効果,師団全体に毒属性の継続ダメージ。種族「毒・死・器」無効。
大神術陣,継続効果,師団全体に神属性の継続ダメージ。障壁・結界・吸収・反射で効果軽減
大魔術陣,継続効果,師団全体に魔属性の継続ダメージ。障壁・結界・吸収・反射で効果軽減
大強酸陣,継続効果,師団全体に酸属性の継続ダメージ。種族「海・蟲」無効。
術式増幅,増幅効果,師団の開幕ダメージ及び継続ダメージと継続回復効果をスキル％増幅させる
城壁崩し,開幕構築,戦闘開始時に敵軍の城壁防御値を減らす。
城壁構築,開幕構築,戦闘開始時に自軍の城壁防御値を増やす。
バリアー,開幕構築,戦闘開始時に、(レベル+50)×スキル値のバリアを保有する
戦意高揚,開幕構築,戦闘開始時に、スキル性能値分、フォース値増加させる。
対術障壁,開幕継続防御,自分への毒以外の継続ダメージを軽減する
対術結界,開幕継続防御,師団への毒以外の継続ダメージを軽減する
対術反射,開幕継続防御,師団への毒以外の継続ダメージを反射し、反射したダメージを敵軍目標へのダメージとする
対術吸収,開幕継続防御,師団への毒以外の継続ダメージを吸収し、吸収したダメージを師団全体で回復値とする
砲撃障壁,開幕継続防御,自分への毒以外の開幕ダメージを軽減する
砲撃結界,開幕継続防御,師団への毒以外の開幕ダメージを軽減する
自己治癒,継続回復,自分のＨＰを継続回復。呪い無効
対象治癒,継続回復,種族「死」以外のターゲットされた味方を継続回復。呪い無効
全体治癒,継続回復,種族「死」以外の味方全体のＨＰ継続回復。呪い無効
平等治癒,継続回復,味方全体のＨＰ継続回復。呪い無効
魔族医療,継続回復,種族「魔・死」を持つ味方のＨＰ継続回復。呪い無効
日中再生,継続回復,昼に自分を継続回復。呪い無効
夜間再生,継続回復,夜に自分を継続回復。呪い無効
解毒治療,異常治療,師団への状態異常「毒」を無効化、毒による開幕・継続ダメージを半減
解呪治療,異常治療,師団への状態異常「呪い」を無効化
麻痺治療,異常治療,師団への状態異常「麻痺」を無効化
削減治療,異常治療,師団への状態異常「削減」を無効化、酸による開幕・継続ダメージを半減
絶対治療,異常治療,師団への毒・麻痺・呪い・削減効果を無効化
異常耐性,異常治療,自身へのあらゆる状態異常を受けつけない
愚者の嘘,状態異常,敵師団全体のベーススキルを、スキル値分無効化させる。師団内では加算されず、最大値が適用
虹の毒撃,状態異常,毒・呪い・麻痺・４種能力値削減効果を同時に付与する
毒化攻撃,状態異常,敵に毒を与え、継続的に毒ダメージを与える。「死・毒・超」無効
麻痺攻撃,状態異常,麻痺値を敵に与え、２たまると１行動スタン。「雷・超」無効
呪の一撃,状態異常,敵に呪いを与え、回復を阻害する。「神・超」無効
魅了攻撃,状態異常,ダメージを与えたとき、「男または女」所持し、敵に逆属性を持っていた場合、魅了する。「炎・超」無効
封印攻撃,状態異常,ダメージを与えたとき、対象に継続効果を封印する効果を与える。「超」無効
解除攻撃,状態異常,活性・指揮などの能力値上昇効果を解除する状態異常を付与。「超」無効
攻撃削減,状態異常,１回の攻撃ごとに、敵の攻撃値を削減する
防御削減,状態異常,１回の攻撃ごとに、敵の防御値を削減する
速度削減,状態異常,１回の攻撃ごとに、敵の速度値を削減する
知力削減,状態異常,１回の攻撃ごとに、敵の知力値を削減する
吸血攻撃,状態異常,ダメージを与えたとき、自己HP現在値のスキル％分を回復
複数異常,異常効果拡張,状態異常攻撃を攻撃対象全てに発生させる
反撃異常,異常効果拡張,状態異常攻撃を反撃対象に発生させる
強制異常,異常効果拡張,相手の異常耐性や各種治療効果を確率で無効化できる。魅了封印吸血は不可
貫通攻撃,範囲攻撃,ターゲットの前後の敵も同時に攻撃する
扇形攻撃,範囲攻撃,ターゲットと同じ列にいる敵を全て攻撃
十字攻撃,範囲攻撃,ターゲットと同じ列と前後の敵を全て攻撃
全域攻撃,範囲攻撃,敵師団全てを攻撃
軍団攻撃,範囲攻撃,無効系スキルで範囲効果を無効化できないかわりに、全てのダメージが全域攻撃の半分になる。（範囲攻撃を無効化されることはないが、敵の「範囲無効」によって威力をさらに半減させられる）
側面攻撃,攻撃効果,敵のフォースを削り後列の敵も狙える。敵のイベイド値を減らす
遠隔攻撃,攻撃効果,敵の反撃無効。昼のみ、後列の敵も狙える
確率追撃,攻撃効果,（１＋ｎ÷100）回の確率で、独立した複数回攻撃を行う。スキル値が250の場合、通常の攻撃＋2回の追加攻撃＋50％の確率で4回目の追加攻撃を行う。
必殺増加,攻撃効果,性能値分、クリティカル発生％が増加
反撃倍加,攻撃効果,性能値分、反撃のダメージ倍率が増加
次元斬撃,攻撃効果,遠隔攻撃・カブト割・パリングと同等の効果＋敵の竜鱗守護とパリングを無効化する
致命必殺,攻撃効果,クリティカルの威力が増加
カブト割,攻撃効果,性能値％、敵の防御値無視（最大値80）
自決自爆,攻撃効果,倒された時に残ＨＰ量で敵に自爆ダメージ
精神攻撃,攻撃効果,相手の忠誠をスキル値分下げて、スキル値分ゲージ吸収
全力攻撃,攻撃効果,攻撃時にダメージが増加、ただし反撃も増加する。また、フォースゲージの回収量も増える。
多段攻撃,攻撃効果,攻撃時、一撃の威力を（１＋ｎ×0.35）倍にする。ｎ＝スキル性能値。また、（性能値＋1）×５％のパリングとイベイドの確率を低下させる。スキル性能値の上限は6まで。
心核穿ち,攻撃効果,無形体躯のダメージ低下効果と無形体躯の必殺耐性効果を無視する。反撃可
反撃耐性,攻撃効果,攻撃時にスキル値%分の反撃ダメージを低減させる最大値は90
側面無効,範囲防御,敵の側面攻撃を無効化する
遠隔無効,範囲防御,敵の遠隔攻撃を無効化する。次元斬撃の遠隔能力は無効化できない。
貫通無効,範囲防御,敵の貫通攻撃を無効化する。十字攻撃の貫通部分を無効化
扇形無効,範囲防御,敵の扇形攻撃を無効化する。十字攻撃の扇形部分を無効化
十字無効,範囲防御,敵の十字・貫通・扇形攻撃を無効化する
全域無効,範囲防御,敵の全域攻撃のみを無効化する
範囲無効,範囲防御,所持しているユニットが生存している場合、軍団攻撃以外のすべての範囲攻撃を無効化し通常攻撃とする。軍団攻撃はさらに威力を半減させる。
特攻防御,防御,種族特攻によるダメージ倍加を性能値％分減少させる
パリング,防御,性能値％でクリティカル以外の攻撃を無効化
イベイド,防御,性能値％で遠隔攻撃を完全回避する。次元斬撃も回避可能
専守防衛,防御,攻撃しない代わりに受けるダメージを半減させる
前進防御,防御,一つ前の隊列番号の味方への攻撃を肩代わりする
標的後逸,防御,一つ後の隊列番号の味方へ攻撃をなすり付ける
堅守体躯,防御,被ダメージ及び、ＨＰ回復量が減少する（最大92）
神魔体躯,防御,被ダメージ及び、ＨＰ回復量が減少する（最大98）
矮小体躯,防御,被ダメージが増える代わりに、スキル性能％で回避する（最大50）
竜鱗守護,防御,遠隔攻撃以外の一定以下被ダメージを無視
リカバリ,防御,同一戦闘中、一度だけ戦闘不能状態から復帰できる。復帰後のHPは性能値％で決定
兵士運搬,防御,師団が受ける地形のマイナス効果を無効化
地形無効,防御,両軍全師団の地形効果と愚者の嘘を完全無効化
必殺耐性,防御,相手のクリティカル確率をスキル性能値分減少する
致命耐性,防御,相手の致命必殺のスキル値を性能値分減少する。相手のＣＲダメージをスキル威力値分減少する
自爆障壁,防御,自身の自爆ダメージをスキル性能％軽減する
